"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2021","543.83","543.83","543.83","543.83","","0.72%"
"05/27/2021","539.92","539.92","539.92","539.92","","-0.90%"
"05/26/2021","544.80","544.80","544.80","544.80","","0.08%"
"05/25/2021","544.37","544.37","544.37","544.37","","0.65%"
"05/24/2021","540.87","540.87","540.87","540.87","","0.71%"
"05/21/2021","537.04","537.04","537.04","537.04","","0.22%"
"05/20/2021","535.86","535.86","535.86","535.86","","1.71%"
"05/19/2021","526.87","526.87","526.87","526.87","","1.00%"
"05/18/2021","521.64","521.64","521.64","521.64","","-0.16%"
"05/17/2021","522.45","522.45","522.45","522.45","","-0.28%"
"05/14/2021","523.94","523.94","523.94","523.94","","0.18%"
"05/13/2021","523.02","523.02","523.02","523.02","","-1.04%"
"05/12/2021","528.49","528.49","528.49","528.49","","0.81%"
"05/11/2021","524.24","524.24","524.24","524.24","","-0.84%"
"05/10/2021","528.68","528.68","528.68","528.68","","2.16%"
"05/07/2021","517.52","517.52","517.52","517.52","","-0.68%"
"05/06/2021","521.07","521.07","521.07","521.07","","-0.73%"
"05/05/2021","524.92","524.92","524.92","524.92","","0.46%"
"05/04/2021","522.51","522.51","522.51","522.51","","0.24%"
"04/29/2021","521.26","521.26","521.26","521.26","","0.44%"
"04/28/2021","518.99","518.99","518.99","518.99","","0.53%"
"04/27/2021","516.23","516.23","516.23","516.23","","0.93%"
"04/26/2021","511.46","511.46","511.46","511.46","","-2.95%"
"04/23/2021","526.98","526.98","526.98","526.98","","1.52%"
"04/22/2021","519.07","519.07","519.07","519.07","","-3.82%"
"04/20/2021","539.69","539.69","539.69","539.69","","0.82%"
"04/19/2021","535.32","535.32","535.32","535.32","","2.44%"
"04/16/2021","522.56","522.56","522.56","522.56","","0.07%"
"04/15/2021","522.21","522.21","522.21","522.21","","0.14%"
"04/14/2021","521.47","521.47","521.47","521.47","","1.13%"
"04/13/2021","515.66","515.66","515.66","515.66","","0.68%"
"04/12/2021","512.16","512.16","512.16","512.16","","2.40%"
"04/09/2021","500.15","500.15","500.15","500.15","","-0.30%"
"04/08/2021","501.68","501.68","501.68","501.68","","-0.54%"
"04/07/2021","504.42","504.42","504.42","504.42","","0.25%"
"04/06/2021","503.17","503.17","503.17","503.17","","0.31%"
"04/05/2021","501.60","501.60","501.60","501.60","","1.13%"
"04/02/2021","496.00","496.00","496.00","496.00","","0.88%"
"04/01/2021","491.66","491.66","491.66","491.66","","2.63%"
"03/31/2021","479.06","479.06","479.06","479.06","","0.66%"
"03/30/2021","475.93","475.93","475.93","475.93","","1.07%"
"03/29/2021","470.89","470.89","470.89","470.89","","0.80%"
"03/26/2021","467.15","467.15","467.15","467.15","","0.18%"
"03/25/2021","466.31","466.31","466.31","466.31","","-0.02%"
"03/24/2021","466.38","466.38","466.38","466.38","","-1.42%"
